,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
61,209,VINCENNES, 15h17,1 Jan,46000,2175,9,gauche,9,18,1,Diolida De Cell.,F,5,False,M.Abrivard,F.Provost,38420,"['D', 5, 'D']",[8],28,56,False,False
62,210,VINCENNES, 15h17,1 Jan,46000,2175,9,gauche,9,18,2,Dame De Fourches,F,5,False,J.Vanmeerbeck,J.Vanmeerbeck,47230,"[8, 6]","[0, 0]",52,159,False,False
63,211,VINCENNES, 15h17,1 Jan,46000,2175,9,gauche,9,18,3,Divine Beji,F,5,deferre_anterieurs_posterieurs,Mlle.I.Aho,Ph.Billard,53420,"[4, 6, 'D', 7]",[],17,19,2,73.16666666666667
64,212,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,4,Didine Du Digeon,F,5,deferre_anterieurs_posterieurs,E.Raffin,Th.Raffegeau,55580,"[1, 3]","['D', 'D']",5.1,5.8,False,False
65,213,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,5,Dania Beach,F,5,deferre_anterieurs_posterieurs,F.Desmigneux,B.j.Crebas,59660,[4],"[5, 6, 9]",34,42,3,74.0
66,214,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,6,Dune De L'aunay,F,5,deferre_anterieurs_posterieurs,A.Barrier,V.Raimbault,60660,"[8, 3]","[4, 3]",7.1,16,5,74.66666666666667
67,215,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,7,Dis Moi De Houe.,F,5,deferre_anterieurs_posterieurs,F.Nivard,F.Leblanc,61570,"[1, 5, 2, 1]",[],3,2.7,False,73.16666666666667
68,216,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,8,Deesse Du Relais,F,5,deferre_anterieurs_posterieurs,F.Picot,P.l.Rousseau,65450,"[3, 4, 7]",[0],42,43,4,74.16666666666667
69,217,VINCENNES, 15h47,1 Jan,46000,2175,9,gauche,9,18,9,Dynasty Peji,F,5,deferre_posterieurs,D.Bonne,D.Bonne,66510,"[1, 1, 6]",['D'],2.9,2.2,False,False
70,376,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,1,Estampille,F,4,deferre_posterieurs,GuillaumeMartin,G.Grelier,1100,['D'],['R'],80,136,False,False
